start	end	pc
0.700166	3.496145	D
0.700166	3.496145	Gb
0.700166	3.496145	A
3.496145	6.340589	C
3.496145	6.340589	F
3.496145	6.340589	A
6.340589	9.138594	D
6.340589	9.138594	G
6.340589	9.138594	B
9.138594	11.852371	Db
9.138594	11.852371	E
9.138594	11.852371	G
9.138594	11.852371	A
11.852371	13.294965	D
11.852371	13.294965	Gb
11.852371	13.294965	A
13.294965	14.711382999999998	C
13.294965	14.711382999999998	E
13.294965	14.711382999999998	G
14.711382999999998	16.151020000000003	D
14.711382999999998	16.151020000000003	G
14.711382999999998	16.151020000000003	B
16.151020000000003	17.590657	Db
16.151020000000003	17.590657	E
16.151020000000003	17.590657	A
17.590657	18.983854	D
17.590657	18.983854	Gb
17.590657	18.983854	A
18.983854	20.423492	C
18.983854	20.423492	E
18.983854	20.423492	G
20.423492	21.828298999999998	D
20.423492	21.828298999999998	G
20.423492	21.828298999999998	B
21.828298999999998	23.256326	Db
21.828298999999998	23.256326	E
21.828298999999998	23.256326	A
23.256326	24.637913	D
23.256326	24.637913	Gb
23.256326	24.637913	B
24.637913	26.065941	D
24.637913	26.065941	G
24.637913	26.065941	Bb
26.065941	27.470747999999997	D
26.065941	27.470747999999997	Gb
26.065941	27.470747999999997	B
27.470747999999997	28.921995000000003	D
27.470747999999997	28.921995000000003	G
27.470747999999997	28.921995000000003	Bb
28.921995000000003	30.291971999999998	D
28.921995000000003	30.291971999999998	Gb
28.921995000000003	30.291971999999998	A
30.291971999999998	31.743219	D
30.291971999999998	31.743219	G
30.291971999999998	31.743219	B
31.743219	33.101587	D
31.743219	33.101587	Gb
31.743219	33.101587	A
33.101587	33.670476	C
33.101587	33.670476	F
33.101587	33.670476	A
33.670476	34.169705	C
33.670476	34.169705	F
33.670476	34.169705	A
34.169705	34.552834000000004	D
34.169705	34.552834000000004	G
34.169705	34.552834000000004	B
34.552834000000004	36.004081	D
34.552834000000004	36.004081	Gb
34.552834000000004	36.004081	A
36.004081	37.385668	C
36.004081	37.385668	E
36.004081	37.385668	G
37.385668	38.767256	D
37.385668	38.767256	G
37.385668	38.767256	B
38.767256	40.160453000000004	Db
38.767256	40.160453000000004	E
38.767256	40.160453000000004	A
40.160453000000004	41.58848	D
40.160453000000004	41.58848	Gb
40.160453000000004	41.58848	A
41.58848	43.028117	C
41.58848	43.028117	E
41.58848	43.028117	G
43.028117	44.409704999999995	D
43.028117	44.409704999999995	G
43.028117	44.409704999999995	B
44.409704999999995	45.849342	Db
44.409704999999995	45.849342	E
44.409704999999995	45.849342	A
45.849342	47.288979	D
45.849342	47.288979	Gb
45.849342	47.288979	B
47.288979	48.728615999999995	D
47.288979	48.728615999999995	G
47.288979	48.728615999999995	Bb
48.728615999999995	50.098594	D
48.728615999999995	50.098594	Gb
48.728615999999995	50.098594	B
50.098594	51.584671	D
50.098594	51.584671	G
50.098594	51.584671	Bb
51.584671	53.001088	D
51.584671	53.001088	Gb
